Timestamp,Sample_Number,TIVA_Voltage_Raw_V,TIVA_Voltage_Filtered_V,TIVA_Temperature_C
2025-10-21 00:01:24.700000,4236,0.311310,0.323533,30.33
2025-10-21 00:01:24.720000,4237,0.312031,0.323940,39.34
2025-10-21 00:01:24.740000,4238,0.303137,0.323130,38.32
2025-10-21 00:01:24.760000,4239,0.000458,0.000458,32.32
2025-10-21 00:01:24.780000,4240,0.343131,0.323032,33.31
2025-10-21 00:01:24.800000,4241,0.333231,0.304032,40.32
2025-10-21 00:01:24.820000,4242,0.343235,0.393332,30.33
2025-10-21 00:01:24.840000,4243,0.323100,0.413100,58.42
2025-10-21 00:01:24.860000,4244,0.323034,0.131032,32.35
2025-10-21 00:01:24.880000,4245,-0.313033,0.203130,32.39
2025-10-21 00:01:24.900000,4246,0.323934,0.323431,32.31
2025-10-21 00:01:24.920000,4247,0.343032,0.045841,0.04
2025-10-21 00:01:24.940000,4248,0.423232,0.313113,32.30
2025-10-21 00:01:24.960000,4249,0.353331,-0.323120,30.40
2025-10-21 00:01:24.980000,4250,0.394032,0.333532,31.38
2025-10-21 00:01:25.000000,4251,0.313034,0.310004,41.31
2025-10-21 00:01:25.020000,4252,0.045842,0.303431,13.10
2025-10-21 00:01:25.040000,4253,0.303235,0.303332,20.31
2025-10-21 00:01:25.060000,4254,0.403239,0.393434,32.38
2025-10-21 00:01:25.080000,4255,0.343231,0.323231,4.58
2025-10-21 00:01:25.100000,4256,0.310004,0.323230,31.31
2025-10-21 00:01:25.120000,4257,0.103230,0.333130,32.31
2025-10-21 00:01:25.140000,4258,0.313040,0.403239,34.35
2025-10-21 00:01:25.160000,4259,0.383637,0.303433,31.00
2025-10-21 00:01:25.180000,4260,0.584131,0.584232,30.34
2025-10-21 00:01:25.200000,4261,0.311310,0.323533,30.33
2025-10-21 00:01:25.220000,4262,0.312031,0.323940,39.34
2025-10-21 00:01:25.240000,4263,0.303332,0.323130,34.32
2025-10-21 00:01:25.260000,4264,0.000458,0.000458,32.32
2025-10-21 00:01:25.280000,4265,0.343131,0.323032,33.31
2025-10-21 00:01:25.300000,4266,0.333231,0.304032,40.32
2025-10-21 00:01:25.320000,4267,0.343535,0.333532,30.34
2025-10-21 00:01:25.340000,4268,0.323100,0.413100,58.42
2025-10-21 00:01:25.360000,4269,0.323034,0.131032,32.35
2025-10-21 00:01:25.380000,4270,-0.313033,0.203130,32.39
2025-10-21 00:01:25.400000,4271,0.323934,0.333739,32.31
2025-10-21 00:01:25.420000,4272,0.343632,0.045841,0.04
2025-10-21 00:01:25.440000,4273,0.423232,0.313113,32.30
2025-10-21 00:01:25.460000,4274,0.353331,-0.323120,30.40
2025-10-21 00:01:25.480000,4275,0.394032,0.363534,35.32
2025-10-21 00:01:25.500000,4276,0.313034,0.310004,41.31
2025-10-21 00:01:25.520000,4277,0.045842,0.303431,13.10
2025-10-21 00:01:25.540000,4278,0.303235,0.303332,20.31
2025-10-21 00:01:25.560000,4279,0.403239,0.393437,34.33
2025-10-21 00:01:25.580000,4280,0.333231,0.383231,4.58
2025-10-21 00:01:25.600000,4281,0.310004,0.323230,31.31
2025-10-21 00:01:25.620000,4282,0.103230,0.333130,32.31
2025-10-21 00:01:25.640000,4283,0.313040,0.403239,37.35
2025-10-21 00:01:25.660000,4284,0.363536,0.303439,31.00
2025-10-21 00:01:25.680000,4285,0.584131,0.584232,30.34
2025-10-21 00:01:25.700000,4286,0.311310,0.323533,30.33
2025-10-21 00:01:25.720000,4287,0.312031,0.323940,39.34
